SMILES,LOGD
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)COCCOCCOCCOCCn2cc(Nc3ncc(Cl)c(NCc4cc(F)ccc4F)n3)cn2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,5.0
COc1ccc(C(=O)N(Cc2ccc(-c3ccc(Cl)cc3)o2)C2CCCCC2)cc1,5.0
COc1ccc(C2c3ccsc3CCN2C(=O)Nc2cc(Cl)cc(Cl)c2)cc1,5.0
COc1ccc(C(=O)/C=C/c2cc(CN3CCN(c4ccnc5cc(Cl)ccc45)CC3)c(O)c(OC)c2)c(OC)c1,5.0
COc1ccc(C(C)CC(=O)O)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12,5.0
COc1ccc(-c2nc(C)ccc2OCc2ccccn2)cc1,5.0
COc1ccc(Cl)cc1S(=O)(=O)N(Cc1ccccc1)Cc1ccccc1,5.0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCCCCCCCCOc2cc(F)cc(CNc3nc(Nc4cnn(C)c4)ncc3Cl)c2F)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,5.0
COc1ccc2c(-c3cnn(-c4ccccc4)c3)ccnc2c1,5.0
COc1ccc2c(c1)OC(c1ccc(OC)c(OC)c1)CC2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,5.0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)COCCOCCOCCOCCOc2cc(F)cc(CNc3nc(Nc4cnn(C)c4)ncc3Cl)c2F)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,5.0
CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.0
COc1ncc(-c2ccc(C(=O)O)cc2C)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(F)cc(C(F)(F)F)c3)OC(=O)N12,5.0
COc1ccc2c(cnn2C)c1NS(=O)(=O)c1cccc(Cl)c1Cl,5.0
COCC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.0
COc1ccccc1C(=O)Nc1cc2c(cc1OC(C)C)n(C)c(=O)n2C,5.0
CSc1cccc(N2C(=O)CN(C3CCN(CC4=CC[C@H]5C[C@@H]4C5(C)C)CC3)C2=O)c1,5.0
N#Cc1cc(N2CCC(C(=O)N3N=CC[C@H]3c3cc(F)cc(F)c3)CC2)ncn1,5.0
FC(F)(F)c1ccc(N(c2cncnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,5.0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)COCCOCCOCCOCCN2CCN(CCCOc3ccc(-c4cnc5cccc(-c6cc(F)c(CN7CCS(=O)(=O)CC7)c(F)c6)c5n4)cc3OC)CC2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,5.0
O=C(Nc1ccc2ccccc2c1)NC1CCN(CC2=CCCCCC2)CC1,5.0
FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,5.0
O=C(CN1CCOCC1)NC[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3.O=C(O)/C=C\C(=O)O,5.0
O=C(OC[C@H](CO)OC(=O)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,5.0
O=C1Cc2cc(NC(=O)[C@H]3CCCN3C(=O)C3(c4cccc(Cl)c4)CCCC3)ccc2N1,5.0
O=C(CN1CCN(c2ccc(F)cc2)CC1)Nc1nc2c(s1)CCCCC2,5.0
O=C1NCCc2c1cnn2-c1cccc(Cc2cc(F)cc(C(F)(F)F)c2)c1,5.0
O=C(c1csc2ccccc12)N(CCc1ccc(Cl)cc1)C1CCC2(CC1)OCCO2,5.0
O=C(c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1)N(Cc1ccc(Cl)cc1)C[C@@H]1C[C@@H](F)CN1,5.0
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,5.0
O=S(=O)(Nc1ccc(F)cn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccc(F)cc1)CCO2,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCc1cccnc1)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCC1CCCCC1)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCc1ccccc1)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCc1ccccn1)C(C)C,5.0
O=c1ncn(Cc2c(F)cc(F)cc2F)c2ccc(Oc3cccc(-c4ccc5cc[nH]c5c4)c3C(F)(F)F)cc12,5.0
CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCNC(=NC#N)SC)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCC(C)(C)N1CCOCC1)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCc1ccccn1)C(C)C,5.0
CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCNC(N)=S)C(C)C,5.0
CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCC(C)(C)N1CCOCC1)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCc1ccncc1)C(C)C,5.0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCN1CCOCC1)C(C)C,5.0
CCCC(CCC)C(=O)N(C)/N=N/c1ccc(C)cc1,4.98
COc1ccc2nc(C)cc(OC3CCN(c4ccccc4)C3=O)c2c1,4.99
COc1ccc2nc(C)cc(OCC(=O)Nc3cc(C)c(OC)c(C)c3)c2c1,4.99
CC1(c2ccc(OC(F)F)cc2)NC(=O)N(CC(=O)c2ccccc2)C1=O,4.97
CC(C)CN(c1ccc(C(C)(C)C)cc1)S(=O)(=O)c1ccc2c(c1)C(=O)CC(C1CCOCC1)O2,4.97
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCn1ccnc1)C(C)C,5.0
CCC1(c2ccc(C#N)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,4.99
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc3nc(C4CCOCC4)cc(O)c3c2)cc1,4.97
CCCCc1ccc(-c2nc(CNCCN(C)C)co2)cc1,4.97
C=CCNc1nc(SC)nc2ccccc12,4.97
Fc1ccc(-c2cc3nc(-c4ccccc4)cc(N4CCNCC4)n3n2)cc1,4.98
COc1cc(C(F)(F)F)nc2ccc(C)c(N)c12,4.97
c1ccc(CCNc2cc(-c3ccccc3)nc3nncn23)cc1,4.97
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,4.98
COc1ccc(-c2nsc(SCC(=O)N3CCCC3)n2)cc1,4.97
Cc1ccc2nc(C(F)(F)F)c(C(=O)NCc3ccc(C)o3)n2c1,4.97
Nc1cccnc1Nc1ccc(C(F)(F)F)cc1,4.97
O=C(C=Cc1cccs1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,4.97
Cc1cc(OCC(=O)NCc2ccccc2)c2cc(Br)ccc2n1,4.97
C/C=C1\NC(=O)C(NC(=O)c2ccc(Oc3ccccc3CCCC)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O,4.98
CCCCS(=O)(=O)Nc1ccc(C2(C)NC(=O)N(CC(=O)c3ccc(F)cc3F)C2=O)cc1,4.96
c1ccc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)cc1,4.96
COc1cccc(C2(C)NC(=O)N(CC(=O)c3ccc(F)cc3F)C2=O)c1,4.96
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc3c(c2)CCC3OC2CCOCC2)cc1,4.96
CN1C(=O)c2c(nn(Cc3ccc(-c4cccc(F)n4)cc3)c2Cc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12,4.96
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(OCC3CCOCC3)c3c2CCCC3O)cc1,4.95
Cn1c(N)nc2cc(Cl)ccc21,4.95
CCCCCC(C)NCc1coc(-c2ccc(OCC)cc2)n1,4.95
COc1ccc2c(c1)O[C@H](c1ccc(OC)c(OC)c1)C[C@@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,4.96
CC(C)(C)c1ccc(C(=O)NCc2ccc(-c3ncnc4[nH]ccc34)cc2)cc1,4.95
CCCC(CCC)C(=O)N(C)/N=N/c1ccc(C(=O)OCC)cc1,4.95
O=C(Nc1ccc2ccccc2c1)NC1CCN(C/C2=C/CCCCCC2)CC1,4.95
Cc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1,4.95
COc1ccc(CCNC[C@H](O)COc2ccc(-c3nc(C(C)=O)c[nH]3)cc2)cc1OC,4.94
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc3c(c2)C(=O)CC(C(C)C2CCOCC2)O3)cc1,4.93
CCCCCC(C)NCc1coc(-c2ccc(-c3ccccc3)cc2)n1,4.94
Fc1ccc(-c2c[nH]c(CNc3ccnc4cc(Cl)ccc34)n2)cc1,4.93
COc1c(Cc2ccccc2)c(C)nc2ccc(Cl)cc12,4.93
COc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(F)F)cc3)C2=O)cc1,4.92
CCc1cc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)nc(C)c1F,4.92
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.94
O=C(O)Cc1ccc(-c2ccc(N(C(=O)OCc3ccccc3)C3CCCCC3)cc2)cc1,4.92
